NCAP Year,Year,Make,Model,Drive,Type,Engine Size / Type,Transmission Type,Front Track (in),Rear Track (in),Avg Track (in),Wheel base (in),Test Weight (lb),CG Long (in),CG Lateral (in),CG Height (in),T/2h,WD (%)
2004,2003,Toyota,Tacoma XCab SR5,4WD,Pickup,2.7L I4,Auto,59.3,59,59.1,122.6,3833.9,50.5,-1.3,26.33,1.123,0.588091354
2004,2003,Toyota,4Runner SR5,RWD,SUV,4.0L V6,Auto,62.2,62.2,62.2,109,4162.1,52.7,-1.7,27.05,1.15,0.5165137615
2004,2003,Toyota,4Runner SR5,4WD,SUV,4.0L V6,Auto,62.2,62.1,62.2,109.9,4408.8,50.3,-1.8,26.68,1.165,0.542311192
2004,2003,Toyota,Tacoma SR5,RWD,Pickup,2.4L I4,Auto,57.1,57.4,57.2,121,3199.8,51.9,-1.3,23.21,1.233,0.5710743802
2004,2003,Ford,Explorer Sport Trac XLS,RWD,SUV,4.0L V6,Auto,58.7,58.7,58.7,125.9,4298.4,56.4,-1.1,27.51,1.067,0.552025417
2004,2003,Ford,Explorer Sport Trac XLS,4WD,SUV,4.0L V6,Auto,58.6,58.6,58.6,125.9,4525.4,55.1,-1.2,26.93,1.087,0.5623510723
2004,2003,Jeep,Liberty Sport,RWD,SUV,3.7L V6,Auto,60.2,60,60.1,104,3942.2,49.7,-1,26.74,1.123,0.5221153846
2004,2003,Jeep,Liberty Sport,4WD,SUV,3.7L V6,Auto,60.2,59.8,60,104,4113,48.1,-1,26.1,1.149,0.5375
2004,2003,Ford,Focus,FWD,Wagon,2.0L I4,Auto,58.3,58.2,58.2,102.9,2914.8,42.8,-0.8,22.48,1.295,0.5840621963
2004,2003,Subaru,Outback,AWD,Wagon,2.5L V4,Auto,58.2,58,58.1,104.4,3651,47.3,-0.9,22.97,1.264,0.5469348659
2004,2003,Nissan,Murano SL,FWD,SUV,3.5L V6,Auto,64.1,64.3,64.2,111.2,4042.6,45.1,-0.8,25.59,1.253,0.5944244604
2004,2003,Nissan,Murano SL,AWD,SUV,3.5L V6,Auto,64.2,64.3,64.2,111.3,4122.4,45.3,-0.8,25.34,1.267,0.5929919137
2004,2003,Honda,Pilot LX,AWD,SUV,3.5L V6,Auto,66.2,66.5,66.4,106.2,4527.3,46.8,-1.2,26.48,1.253,0.5593220339
2004,2004,Chrysler,Pacifica,AWD,SUV,3.5L V6,Auto,66.3,66.5,66.4,116.5,4834.2,52.1,-1.2,24.88,1.333,0.5527896996
2004,2004,Chrysler,Pacifica,FWD,SUV,3.5L V6,Auto,66.3,66.4,66.3,116.3,4640.4,51.4,-1.2,25.55,1.298,0.5580395529
2004,2003,Chevrolet,Silverado,RWD,Pickup,4.3L V6,Auto,64.9,66.2,65.6,143.9,4761.4,60,-1.6,26.19,1.251,0.5830437804
2004,2003,Chevrolet,Silverado,4WD,Pickup,5.3L V6,Auto,65.1,66.2,65.6,144,5091.1,57.5,-1.4,27.4,1.198,0.6006944444
2004,2004,Cheverolet,Trail Blazer LS,RWD,SUV,4.2L V6,Auto,62.8,62.1,62.4,113.2,4516.2,53.5,-1,26.77,1.166,0.527385159
2004,2004,Volvo,XC 90,AWD,SUV,2.9L I6,Auto,64.4,64,64.2,112.4,4803.5,51.1,-0.5,26.55,1.209,0.5453736655
2004,2004,Chevrolet,Trail Blazer LS,4WD,SUV,4.2L V6,Auto,62.8,62,62.4,113.3,4702.4,52.4,-1,26.28,1.187,0.5375110327
2004,2004,Ford,Explorer,RWD,SUV,4.0L V6,Auto,61.4,61.2,61.3,113.4,4481,53.8,-0.6,27.35,1.121,0.5255731922
2004,2004,Ford,Explorer,4WD,SUV,4.0L V6,Auto,61.2,61.2,61.2,113.6,4662.4,53,-0.7,26.92,1.136,0.5334507042
2004,2003,Toyota,Echo,FWD,Sedan,1.5L I4,Auto,56.9,55.7,56.3,93.3,2359.9,37,-1.1,21.94,1.282,0.6034297964
2004,2004,Nissan,MaximaX 3.5L SE,FWD,Sedan,3.5L V6,Auto,60.9,61.3,61.1,111.3,3659.9,43.9,-0.8,26.58,1.416,0.6055705301
2004,2004,Mazda,RX-8,FWD,Sedan,1.3L Rot.,Auto,59.1,59.3,59.2,106.1,3203.5,50.7,-0.9,18.61,1.59,0.5221489161
2004,2004,Mazda,3,FWD,Sedan,2.3L I4,Auto,60.3,59.9,60.1,103.9,3076,40,-0.8,21.05,1.426,0.615014437
2004,2004,Hyundai,Elantra,FWD,Sedan,2.0L I4,Auto,58.6,58.1,58.3,102.9,3116.3,39,-1.1,21.41,1.362,0.6209912536
2004,2004,Acura,TSX,FWD,Sedan,2.4L I4,6 Spd Man,59.7,59.7,59.7,105,3397.4,42.9,-0.8,21.83,1.367,0.5914285714
2004,2004,Acura,RL,FWD,Sedan,3.2L V6,Auto,62,61.9,62,108,3735.9,42.2,-0.9,21.52,1.439,0.6092592593
2004,2004,Toyota,Carnry Solara SLE,FWD,Sedan,3.3L V6,Auto,61,60.3,60.6,106.9,3582.5,40.8,-1,21.91,1.383,0.6183348924
2004,2004,Chevrolet,Malibu LS,FWD,Sedan,3.5L V6,Auto,59.9,59.4,59.7,106.3,3406.6,40.3,-1.1,21.26,1.403,0.6208842897
2004,2004,Hyundai,Tiburon,FWD,Sedan,2.0L I4,Auto,58.7,58.5,58.6,99.7,3233.9,38.2,-1.1,20.57,1.424,0.6168505517
2004,2004,Hyundai,Accent,FWD,Sedan,1.6L I4,Auto,56.7,56,54.4,96.1,2698.7,37.5,-1.4,19.92,1.414,0.6097814776
2004,2004,Hyundai,XG350L,FWD,Sedan,3.5L V6,Auto,60.9,60.2,60.5,108,3962.6,41.1,-0.9,21.55,1.404,0.6194444444
2004,2004,KIA,Amanti,FWD,Sedan,3.5L V6,Auto,61.8,61.6,61.7,109.9,4205.4,42.2,-1,21.96,1.404,0.6160145587
2004,2004,Chevrolet,Aveo,FWD,Sedan,1.6L I4,Auto,57.2,56,56.6,97.8,2668.9,36.9,-1.2,21.46,1.318,0.6226993865
